序号,机构类型,机构名称,产品名称,贷款类型,名义年化利率,贴息后有效利率(2026),最高额度(万),最长期限(月),适用人群,核心特点,申请渠道,更新日期
1,国有大行,中国银行,中银E贷,消费贷,3.1%-4.2%,2.1%-3.2%,200,36,稳定就业+公积金,财政1%贴息·随借随还·线上秒批,中行App/小程序,2026.03
2,国有大行,中国银行,中银消费贷（信用卡贴息版）,消费贷,4.0%-12%,3.0%-11%,50,12,信用卡持卡人,信用卡账单纳入贴息范围,中行App,2026.03
3,国有大行,中国银行,中银惠农贷,消费贷,3.6%-5.5%,2.6%-4.5%,100,60,农村居民/新市民,涉农专项贴息·县域优先,农行掌银/柜台,2026.03
4,国有大行,工商银行,融e借,消费贷,3.0%-3.65%,2.0%-2.65%,200,60,代发工资客户,10分钟放款·白名单专享,工行App,2026.03
5,国有大行,工商银行,工银薪金贷,消费贷,3.2%-4.5%,2.2%-3.5%,50,36,工行代发工资客户,薪资流水直连审批,工行App/网银,2026.03
6,国有大行,工商银行,工银房抵贷,抵押贷,3.5%-5.0%,2.5%-4.0%,500,360,有房产客户,房产抵押·循环额度·LPR定价,工行网点/App,2026.03
7,国有大行,建设银行,快贷,消费贷,3.0%-3.55%,2.0%-2.55%,100,84,公积金客户,按日计息·84月超长期,建行App,2026.03
8,国有大行,建设银行,建易贷,消费贷,3.0%-3.4%,2.0%-2.4%,100,84,公积金+代发双重客户,利率最低之一·建行白名单,建行App,2026.03
9,国有大行,建设银行,惠懂你,经营贷,3.5%-5.0%,2.5%-4.0%,300,60,小微企业主/个体工商户,凭税务/发票秒批,建行App/小程序,2026.03
10,国有大行,农业银行,网捷贷,消费贷,3.2%-3.9%,2.2%-2.9%,150,36,纳税A级/代发客户,装修·教育·医疗专项贴息,农行掌银,2026.03
11,国有大行,农业银行,农行E贷,消费贷,3.2%-3.9%,2.2%-2.9%,80,60,新市民/县域居民,县域专属·新市民优惠,农行App,2026.03
12,国有大行,农业银行,农银惠农贷,经营贷,3.65%-5.5%,2.65%-4.5%,200,60,农业经营者,涉农经营专项补贴,农行网点/App,2026.03
13,国有大行,交通银行,惠民贷,消费贷,3.85%-5.5%,2.85%-4.5%,50,36,信用卡持卡人,买单吧直连·场景消费贴息,交行App,2026.03
14,国有大行,交通银行,交银房抵贷,抵押贷,3.6%-5.2%,2.6%-4.2%,300,360,有房产抵押客户,低利率·长周期·循环支用,交行网点,2026.03
15,国有大行,邮储银行,邮享贷,消费贷,3.1%-4.8%,2.1%-3.8%,100,60,邮储客户/农村居民,农村小微优先·邮储生态,邮储App,2026.03
16,国有大行,邮储银行,邮储经营贷,经营贷,3.5%-5.0%,2.5%-4.0%,100,60,农村小微企业,邮储农村网点覆盖广,邮储App/网点,2026.03
17,国有大行,邮储银行,极速贷,消费贷,3.3%-4.5%,2.3%-3.5%,30,36,在职人员/公积金用户,极速审批·1分钟到账,邮储App,2026.03
18,国有大行,中国银行,随心智贷,经营贷,3.2%-4.5%,2.2%-3.5%,200,60,小微业主,经营用途·税务数据驱动,中行App,2026.03
19,国有大行,工商银行,经营e贷,经营贷,3.1%-4.0%,2.1%-3.0%,300,84,个体工商户/小微企业,纳税A级优先·84月,工行App,2026.03
20,国有大行,建设银行,裕农快贷,经营贷,3.5%-5.5%,2.5%-4.5%,50,36,农村经营者,农村专项·无抵押信用贷,建行App/网点,2026.03
